epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,290.559,1.10491,1.24406,1.43698,0.72369,0.64876,0.67431,0.43539,1.21596,0.8648,1.58894,0.00333032,0.00333032,0.00333032
2,539.175,nan,nan,nan,0.72369,0.64876,0.67431,0.43539,nan,nan,nan,0.00653172,0.00653172,0.00653172
3,784.203,1.25637,1.23117,1.5407,0.72369,0.64876,0.67431,0.43539,nan,nan,nan,0.00960111,0.00960111,0.00960111
4,1027.62,nan,nan,nan,0.72369,0.64876,0.67431,0.43539,nan,nan,nan,0.009406,0.009406,0.009406
5,1271.06,1.21464,1.14516,1.5174,0.72369,0.64876,0.67431,0.43539,nan,nan,nan,0.009208,0.009208,0.009208
6,1514.11,1.15501,1.04811,1.47331,0.72369,0.64876,0.67431,0.43539,nan,nan,nan,0.00901,0.00901,0.00901
7,1757.55,1.12204,0.99117,1.45066,0.72369,0.64876,0.67431,0.43539,nan,nan,nan,0.008812,0.008812,0.008812
8,2001.03,nan,nan,nan,0.72369,0.64876,0.67431,0.43539,nan,nan,nan,0.008614,0.008614,0.008614
9,2244.35,nan,nan,nan,0.72369,0.64876,0.67431,0.43539,nan,nan,nan,0.008416,0.008416,0.008416
10,2488.03,nan,nan,nan,0.72369,0.64876,0.67431,0.43539,nan,nan,nan,0.008218,0.008218,0.008218
11,2731.73,1.63384,2.3701,1.83091,0.72369,0.64876,0.67431,0.43539,nan,nan,nan,0.00802,0.00802,0.00802
12,2975.1,1.90136,3.89465,2.09835,0.72369,0.64876,0.67431,0.43539,nan,nan,nan,0.007822,0.007822,0.007822
13,3218.62,2.79395,5.90335,2.90764,0.72369,0.64876,0.67431,0.43539,nan,nan,nan,0.007624,0.007624,0.007624
14,3462.2,nan,nan,nan,0.72369,0.64876,0.67431,0.43539,nan,nan,nan,0.007426,0.007426,0.007426
15,3705.55,3.2496,18.4975,14.1383,0.72369,0.64876,0.67431,0.43539,nan,nan,nan,0.007228,0.007228,0.007228
16,3949.03,nan,nan,nan,0.72369,0.64876,0.67431,0.43539,nan,nan,nan,0.00703,0.00703,0.00703
17,4192.52,3.54763,158.629,56.7871,0.72369,0.64876,0.67431,0.43539,nan,nan,nan,0.006832,0.006832,0.006832
18,4435.95,3.62736,164.947,61.0155,0.72369,0.64876,0.67431,0.43539,nan,nan,nan,0.006634,0.006634,0.006634
19,4679.43,3.61173,175.073,60.8783,0.72369,0.64876,0.67431,0.43539,nan,nan,nan,0.006436,0.006436,0.006436
20,4923.19,nan,nan,nan,0.72369,0.64876,0.67431,0.43539,nan,nan,nan,0.006238,0.006238,0.006238
21,5166.74,3.87536,114.437,43.7398,0.72369,0.64876,0.67431,0.43539,nan,nan,nan,0.00604,0.00604,0.00604
22,5410.16,3.94221,196.991,44.7513,0.72369,0.64876,0.67431,0.43539,nan,nan,nan,0.005842,0.005842,0.005842
23,5653.92,nan,nan,nan,0.72369,0.64876,0.67431,0.43539,nan,nan,nan,0.005644,0.005644,0.005644
24,5897.19,nan,nan,nan,0.72369,0.64876,0.67431,0.43539,nan,nan,nan,0.005446,0.005446,0.005446
25,6140.67,4.03134,706.176,40.3185,0.72369,0.64876,0.67431,0.43539,nan,nan,nan,0.005248,0.005248,0.005248
26,6383.86,4.03236,683.352,39.7616,0.72369,0.64876,0.67431,0.43539,nan,nan,nan,0.00505,0.00505,0.00505
27,6627.05,4.02774,647.962,36.784,0.72369,0.64876,0.67431,0.43539,nan,nan,nan,0.004852,0.004852,0.004852
